Longitude,Latitude,Label
-13.233333,8.5,Freetown
102.564167,2.056278,Muar
-5.715833,56.4825,Craignure
-77.116667,18.416667,Ocho Rios
23.592889,38.474111,Porthmos Evripou
-59.633333,13.1,Bridgetown
-90.199583,30.385722,Madisonville
-94.783333,29.316667,Galveston
142.100806,50.895028,Aleksandrovsk Sakhalinskiy
-75.233333,-15.25,Bahia San Nicolas
-153.313028,57.718528,Port Obrien
149.914222,-37.07875,Eden
4.259944,39.896278,Mahon
-66.7,18.483333,Arecibo
-73.166667,-36.733333,Bahia San Vicente
-130.333333,54.95,Hidden Inlet
14.255806,37.06125,Gela
11.842444,55.968333,Hundested
12.5,32.816667,Marsa Sabratah
49.582472,14.739556,Ash Shihr Oil Terminal
-64.305194,44.375417,Lunenburg
5.616667,4.25,Pennington Oil Terminal
-80.123278,26.090639,Port Everglades
-70.2,18.2,Punta Nizao Oil Terminal
-64.7,17.75,Christiansted
-5.122528,56.824167,Corpach
31.887889,46.749139,Dnipro Buzkyy
-121.790278,36.807444,Moss Landing
-51.538361,63.70375,Kangerluarsoruseq
106.698278,20.937917,Hai Phong
50.05,26.866667,Ju Aymah Lpg Terminal
56.202528,27.150389,Bandar Abbas
101.35,9.1,Erawan Terminal
47.956528,30.071139,Khawr Al Zubair
-162.816667,54.483333,Sanak
95.316667,5.883333,Sabang
121.866667,6.55,Port Holland
-70.333333,-18.466667,Rada De Arica
-90.035083,30.034667,Gretna
138.018306,-33.171278,Port Pirie
-4.200056,51.02125,Bideford
-14.366667,-7.883333,North Point
-7.315028,55.006194,Londonderry
49.666667,27.083333,Al Jubayl
5.276611,59.150389,Skudeneshavn
39.183333,-6.166667,Zanzibar
136.416667,-13.866667,Milner Bay
116.216667,-3.233333,Kota Baru
178.846194,-17.685806,Levuka
-3.084222,58.441639,Wick
-2.171694,47.290417,Montoir
62.3,25.133333,Gwadar
109.119139,-6.847083,Tegal
37.57075,47.08375,Mariupol
5.745806,58.9725,Stavanger
-124.186694,43.67975,Gardiner
114.609556,-28.795056,Geraldton
104.816667,4.633333,Malong Marine Terminal
-73.166667,-37.033333,Coronel
136.957528,37.054583,Nanao
-73.683333,20.95,Matthew Town
121.444972,28.68625,Haimen
141.6,38.866667,Kesennuma Ko
3.183333,41.866667,Las Hormigas
-80.666667,32.033333,Beaufort
-57.033333,53.7,Cartwright Harbor
176.166667,-37.633333,Tauranga
3.122889,42.505778,Port Vendres
-124.18075,40.814889,Samoa
-123.81875,46.690833,Raymond
-77.133333,17.883333,Port Esquivel
-16.033333,18.033333,Nouakchott
17.966667,-33.033333,Saldanha Bay
8.668333,53.894583,Cuxhaven
12.616667,55.7,Kobenhavn
26.966667,37.75,Samos
36.65,45.333333,Kavkaz Oil Terminal
-79.942111,-6.822528,Pimental
122.133333,18.516667,Port San Vicente
-77.027139,-12.144222,Conchan Oil Terminal
44.106167,65.961944,Mezen
98.412944,7.8375,Phuket
-70.915889,-53.635861,Port San Juan De La Juan
165.817833,-21.395833,Baie De Kouaoua
-60.150889,53.523306,North West River
23.666667,70.666667,Hammerfest
-156.037111,57.567444,Kanatak
22.8275,38.88625,Achladi
48.183333,13.966667,Balhaf
-3.811667,57.86125,Portmahomack Harbor
141.449528,38.4425,Onagawa
134.069194,34.357944,Takamatsu
-75.516667,39.7,Deepwater Point
-44.016667,-23,Guaiba Island Terminal
-71.333333,-29.95,Coquimbo
8.916667,-1.466667,Oguendjo Terminal
-6.3625,57.589972,Uig
4.783333,52.966667,Den Helder
-6.819194,61.4725,Vagur
-171.716667,-2.833333,Canton Island
10.019889,59.048722,Larvik
100.35,5.416667,Pulau Pinang
13.566667,45.533333,Piran
26.966667,60.466667,Kotka
-122.366667,38.016667,Pinole Point
29.089139,40.41875,Borusan Fertilizer Jetty
11.103278,42.449583,Porto Santo Stefano
121.899972,-33.878778,Esperance
-68.327028,44.367917,Mount Desert
-6.654583,34.270833,Kenitra
-54.150861,-34.670472,La Paloma
-89.762556,30.197056,Slidell
35.995806,36.912917,Botas
-71.193333,46.828889,Quebec
133.08375,42.740778,Vostochnyy
-123.031222,49.300833,Port Moody
41.667917,42.1225,Supsa Marine Terminal
-55.233333,49.533333,Fortune Harbor
123.960833,9.95875,Tubigan
10.45,43.35,Vada
7.0275,57.995806,Stusvik
-4.427528,55.903306,Renfrew
-4.017,5.258389,Abidjan
130.890806,33.888722,Kokura Ko
10.798333,33.902861,Houmt Souk
-70.016667,18.416667,Puerto De Haina
-90.7,28.45,Southwest Pass
7.233333,4.183333,Bonny Offshore Terminal
-2.534611,49.469167,Saint Peter Port
-68.129194,10.48875,El Palito
19.333333,60.2,Signilskar
-4.45,5.05,Espoir Marine Terminal
-4.464222,54.140778,Douglas
-6.817556,62.2425,Fuglafjordur
127.383722,0.780833,Ternate
14.869889,68.22625,Brettesnes
14.438722,45.324972,Rijeka Luka
150.815028,-2.562944,Kavieng Harbor
53.516667,24.433333,Mubarraz Oil Terminal
-6.215028,55.631278,Port Ellen
-75.743333,20.842917,Antilla
-70.2,-20.733333,Caleta Patillos
3.4,6.4,Lagos
8.505694,53.369083,Brake
16.566667,57.1,Stora Jatterson
9.714194,59.0725,Brevik
26.859944,37.129556,Lakki
113.4,-26.083333,Useless Loop
5.735833,60.457528,Vaksdal
55.433333,25.416667,Ajman
-76.287056,36.839667,Norfolk
-0.65,37.65,Islas Hormigas
-157.400889,57.486667,Ugashik
-43.15,-22.816667,Dtse / Gegua Oil Terminal
-2.989167,59.317472,Pierowall
29.692472,45.467056,Ust Dunaisk
118.727917,9.7325,Puerto Princesa
20.05,32.116667,Banghazi
-74.2,40.633333,Bayway
30.359944,46.199556,Belgorod Dnestrovsky
-6.333333,52.25,Rosslare
-166.098,66.25475,Shishmaref
9.5,0.283333,Port Owendo
9.855833,54.954944,Augustenborg
-36.502556,-54.277528,Grytviken
-61.844667,17.118333,St Johns
9.701972,39.935778,Arbatax
27.483333,42.483333,Burgas
-74.2,40.633333,Gulfport Si
131.933333,33.95,Hikari
131.233333,33.933333,Ube
108.683333,8.483333,Dai Hang
-68.539222,48.446222,Rimouski
126.204194,6.956222,Mati
-70.384056,43.474889,Saco
-122.4,47.8,Edwards Point
106.745722,10.572833,Cat Lai
124.833333,1.5,Manado
